"Art1","Art2","Art3","AstroAQP1","AstroPLCG1","AstroSERPINI2","B.cell","Bcell_plasma","capEndo","CD4","CD8","CD8_6_1_3","DC","FBMC","fibroblast","gbmEndo_9_1","gbmEndo_9_1a","gbmEndo_9_3","gbmEndo_9_4","gbmEndoPeri_1","gbmEndoPeri_2","gbmFib_4","gbmFib_5","gbmFib_6","gbmPeri","granulocyte","mac_5_1_2","mac_5_1_3","mac_prolif","mg_1_1","mg_1_3","mg_prolif","migDC","monocyte","Neurons_Ex","Neurons_In","NKT","nonclassic_mo","Oligo_2_1","Oligo_2_2","Oligo_2_3_1","Oligo_2_3_2","OPC","pericyte","RBC","SMC","T_prolif","TC_AC","TC_mesh","TC_mesnh","TC_MTC","TC_NPC","TC_oligo","TC_OPC","TC_prolif","Treg","Venous","Venule"
"HEXIM1","ARL15","DKK2","GFAP","GPC5","ADGRV1","CD37","MZB1","CLDN5","CD40LG","CD8A","GZMA","AREG","CRISPLD2","PTGDS","CD93","A2M","DDX21","CCL3L1","ITM2A","COL4A1","CLU","COL1A1","APOD","COL4A1","IFITM2","C5AR1","GPNMB","S100A10","C3AR1","DHRS9","APOC2","BIRC3","LYZ","AGBL4","CHRM3","CTSW","AIF1","OPALIN","HHIP","DHCR24","GSN","DSCAM","ATP1A2","HBB","MYH11","CORO1A","ALDOC","PLOD2","CHI3L1","ALDOA","CD24","DLL1","BCAN","CENPF","CTLA4","ANO2","ATP10A"
"ID2","MCTP1","LTBP4","TNC","HPSE2","DPP10","CD79A","JCHAIN","IFI27","CD69","CD8B","GZMK","CD74","MFAP4","BICC1","HSPG2","SEMA3G","ARHGAP11A","CCL4L2","SPARCL1","F2R","KCNMA1","COL1A2","C1S","THY1","S100A8","CD163","HK2","TGFBI","SIGLEC8","C3","C1QB","GPX4","S100A12","CSMD2","CNTNAP2","FGFBP2","CTSS","KIF19","CREB5","ENPP2","KLK6","GRID2","DLC1","HBA1","PDE3A","CRIP1","ATP1B2","NRN1","METTL7B","EEF1A2","NSG2","DLL3","GPR17","CENPV","FOXP3","TSHZ2","DOCK9"
"IER3","MECOM","MGP","ADAMTSL3","RORA","TNIK","MS4A1","XBP1","ABCG2","CD3E","XCL1","LIME1","FCER1A","OOEP","IGF2","KDR","SYNPO","IFRD2","CXCL8","CAVIN2","CA2","LEPR","COL3A1","CYP1B1","CCDC102B","G0S2","CD68","PLIN2","CAPG","EGR2","P2RY12","C3","GSTP1","S100A9","GABRA4","GRIP1","KLRD1","FCGR3A","RNASE1","CDH19","HAPLN2","CNDP1","KCNIP4","INPP4B","HBA2","PLN","RAC2","C1orf61","VEGFA","MT-ND4L","BNIP3","SCG3","OLIG2","SMOC1","CTXN1","IL32","CADPS2","FLT1"
"LRRC23","PLCB4","RAMP2","AQP1","SLC1A2","PPP2R2B","RPL18A","DERL3","VWF","CXCR4","PTGER2","DUSP2","FCGR2B","APOO","AKAP12","PLVAP","GJA5","ABCE1","IL1B","SEC62","THY1","SFRP2","COL6A2","DCN","COL4A2","FCGR3B","FCGRT","SLC11A1","F13A1","OLR1","CX3CR1","SLC2A5","HLA-DPB1","CSTA","KHDRBS2","KAZN","NKG7","LST1","BIN1","TCP11L2","TMEM144","CD9","LHFPL3","MUSTN1","SLC25A37","SOD3","HMGB1","ID4","IRS2","MT-ATP8","MRPS24","TUBB3","PRAME","NEU4","NMU","CD27","IL1R1","ABCB1"
"TM4SF1","VEGFC","ELN","DST","ARHGAP24","WDR49","RPS5","HERPUD1","","IL7R","ZNF683","CRTAM","GRASP","CCL2","GNAL","ESM1","CD59","ATAD3A","CCL4","GGT5","APLN","SLC26A2","POSTN","ISLR","FAT1","CMTM2","IFI30","TREM1","TOMM6","","GPR34","LILRB4","LAMP3","RETN","RBFOX1","NRXN3","PRF1","S100A11","AZGP1","TMPRSS5","FEZ1","LARP6","LRP1B","RGS5","","TAGLN","TUBA4A","ITGB8","NOL3","SPOCD1","","FXYD6","DSEL","C1QL1","MESP1","CD3D","IL6ST","ESYT2"
"C6orf62","ROR1","ABI3BP","TTN","CACNB2","ZNRF3","FCMR","FCRL5",,"IL32","KLRC4","KLRG1","HLA-DRB5","ECRG4","SFRP4","RASGRP3","JAG2","NUDT15","CCL20","MFSD2A","PXDN","SLC47A1","RPL27A","F3","C11orf96","S100P","MS4A6A","ZNF385A","SLC16A3",,"TMEM119","FCGR1A","LSP1","NLRP3","SV2B","SRRM4","CD247","SERPINA1","TTLL7","LAMP2","GPIHBP1","KCNMB4","LRRC4C","SLC6A1",,"TPM2","PLP2","SOX9","HILPDA","SPRY2",,"INSM1","","COL9A2","ZNF66","CD2","ACKR1","NPIPB3"
"SLC10A1","TMTC1","LTC4S","DAAM2","TPD52L1","CFAP47","BANK1","FKBP11",,"CD52","","","RNASE6","FHL1","GFPT2","RFLNB","S1PR1","TIPIN","","SLC38A5","SPRY1","IGFBP5","RPL37A","FBLN2","PTGIR","PROK2","TNFSF13","C15orf48","PTGES3",,"APOC2","RNASE2","TMSB10","PLBD1","SYNDIG1","ZNF536","CD7","FCER1G","MAL","CERCAM","GPR37","HCN2","LUZP2","ARHGAP10",,"ACTA2","CNN2","ENHO","AK4","",,"SHD",,"SNX22","ZNF738","TIGIT","SOD2","SLCO1A2"
"TNFRSF10D","ELMO1","GCHFR","FAM189A2","RYR3","SERPINI2","NOP53","ISG20",,"",,,"HCLS1","EGLN3","CCDC200","ROBO4","HEY1","EXOSC2",,"CD320","COL4A2","OGN","COL5A1","C7","FBLIM1","","GRN","HMOX1","HNMT",,"CSF1R","WAS","HINT1","MCEMP1","SYT1","GAD1","GNLY","MS4A7","CNP","","MOBP","UCHL1","PCDH15","EBF1",,"ADIRF","RAD21","ALDH1L1","SPNS2",,,"DPYSL3",,"GPR37L1","","TNFAIP3","ADGRG6","THSD4"
"KCNJ2","THSD7A","IGFBP3","KCNN3","WIF1","ADCY2","RPS8","SEC11C",,,,,"IGFLR1","FSIP1","ALDH1A2","PLXNA2","MALL","DSCC1",,"EDN3","C11orf96","SCARA5","COL6A1","MMP2","CALD1",,"SDS","MMP19","MARCO",,"SELPLG","APBB1IP","HLA-DQA1","LTB4R","MLIP","GRIK2","IFITM1","S100A4","",,"CARNS1","LGALS3BP","PTPRZ1","EPS8",,"CNN1","PPP1CA","LIX1","",,,"MLLT11",,"ASIC1",,"BATF","RAMP3","BBS9"
"NFE2L3","CFH","C1QTNF5","BAIAP3","SLC1A3","TAB2","BLK","SSR4",,,,,"GPR183","ANGPT1","ARIH1","VWA1","SULT1B1","CENPQ",,"KTN1","MCAM","EFEMP1","COL6A3","NR2F1","COL18A1",,"ACP5","ERO1A","METTL26",,"LPAR5","FCGBP","IL7R","","NEGR1","IGF1","GZMB","PTPRC",,,"FA2H","PRDX1","TNR","SLC6A13",,"MYL9","PTPRCAP","COL28A1",,,,"CDR1",,"MTSS2",,"IL2RA","LRRC1","COBLL1"
"ID3","CTTNBP2NL","IL33","COL21A1","TRPM3","AMZ2","RPS23","PIM2",,,,,"CD86","RPL24","CCNH","EGFL7","BCAM","TIMM8A",,"MT1F","ITGA1","FGL2","NNMT","MXRA8","",,"MSR1","SLC2A3","CLEC5A",,"TREM2","FOLR2","PPA1",,"PHACTR1","PLD5","KLRB1","CFD",,,"SCD","RETREG1","CA10","TRPC3",,"DES","CD6","RIDA",,,,"BEX1",,"PCDHGC3",,"SKAP1","TRPM6","SNED1"
"INTS6","CDK17","MFRP","RGMA","CABLES1","TJP2","CD79B","PRDX4",,,,,"CD1E","SSTR2","CPED1","ENG","ADAM15","LYAR",,"SLC3A2","SERPINE1","NPNT","THBS2","S100A13",,,"MAFB","CDCP1","SQOR",,"","LAIR1","ARL6IP5",,"RIMS2","C8orf34","KLRF1","FCN1",,,"SNORC","SCN1B","CSMD3","NR2F2",,"SYNPO2","PTPN7","MASP1",,,,"SOX11",,"PLPPR1",,"LCK","CALCRL","STXBP6"
"POLR2A","CNTNAP3","FGF2","MARCH3","PREX2","NEBL","RPL19","TENT5C",,,,,"GPAT3","MYC","CPZ","EXOC3L2","BEX5","NUDT8",,"FAM107A","PMEPA1","SLC7A2","COL5A2","C1R",,,"FPR3","BNIP3L","MTFP1",,,"CYFIP1","BASP1",,"RYR2","ERBB4","KLRK1","COTL1",,,"UGT8","FN3K","KCNMB2","PTEN",,"LPP","SNRPD2","FADS2",,,,"AC055839.2",,"TRAF4",,"SARAF","PLA1A","HLF"
"KRT19","MYZAP","BMX","ITPKB","COL5A3","ITPR2","EEF1B2","POU2AF1",,,,,"NR4A3","CCL26","GPR78","CDH5","NOS3","RPP30",,"TMEM204","TP53I11","SLIT2","LUM","OLFML3",,,"AKR1B1","ANG","FAM174C",,,"TAGAP","FSCN1",,"SATB2","SLC35F4","GZMH","LILRA5",,,"COL4A5","C4orf48","NLGN1","SLC38A11",,"TPM1","CD5","SYTL4",,,,"LRATD2",,"NLGN3",,"ICOS","RALGAPA2","IGF1R"
"RBKS","","GAS6","PFKFB2","PIK3C2A","STON2","NCF1","SELENOK",,,,,"CD1C","CCN5","AMPD3","NOTCH4","APOL1","TCOF1",,"TNS1","CALM1","GJA1","FAP","IGFBP6",,,"RNF130","SLAMF9","ST14",,,"TMIGD3","NABP1",,"SIDT1","KCNC2","ZAP70","LIMD2",,,"PLEKHB1","DDR1","NXPH1","ITIH5",,"HSPB1","PAXX","LYPD1",,,,"ASIC4",,"PLAAT1",,"TNFRSF18","PKHD1L1","SORBS2"
"ACER2",,"PROCR","RHPN1","GABRA2","NHSL1","RPL3","SLAMF7",,,,,"MS4A4E","NPY","TFPI2","BDKRB2","","SAAL1",,"ARL4A","LOXL2","IGFBP2","TIMP1","WNT4",,,"ZNF331","ADSSL1","DDX41",,,"LAT2","RAB9A",,"SNAP25","KIAA1211","CLIC3","OAZ1",,,"STMN4","PLPP2","OPCML","LAMA2",,"PALLD","APOBEC3H","PCDHGA10",,,,"PCDHB9",,"BMP7",,"GBP5","ABCD3","AKT3"
"MT1M",,"GASK1B","PFKP","SHROOM3","RFX4","VPREB3","SPAG4",,,,,"RGS2","FGF10","RASD1","SLCO2A1",,"NUP188",,"CA4","PGF","KLF5","SLC39A14","SERPING1",,,"ASAH1","IL1RN","ME2",,,"OTULINL","CCR7",,"STXBP5L","L3MBTL4","IL2RB","LILRB2",,,"ST18","GNG7","ADGRL3","SLC30A10",,"ACTG2","STK17A","TRIM47",,,,"MEX3A",,"RND2",,"PBXIP1","PRSS23","NOSTRIN"
"ZC3HAV1",,"CAV1","PAGR1","FGFR3","SLC7A11","RPL11","PLPP5",,,,,"CD1D","","ECM2","HAPLN1",,"",,"SERPINB6","LAMC1","SULF1","CA12","RBP1",,,"MRC1","","CACNA2D4",,,"HAMP","CSF2RA",,"UNC80","SYNPR","GZMM","TNFRSF1B",,,"ANLN","RAB40B","DCC","CPM",,"DSTN","EMB","PRLHR",,,,"KIAA0408",,"NUP42",,"PRDM1","ABCC4","ST6GAL1"
"MYLIP",,"FNIP2","APC2","MEIS2","EPHA6","RPS6","JSRP1",,,,,"PTGER4",,"ZNF10","ITGA5",,,,"SRARP","CCDC102B","ADD3","FIBIN","ASPN",,,"ADA2",,"LYVE1",,,"SCIN","RASSF4",,"ASIC2","VIP","ARL4C","CEBPB",,,"DPYSL5","PLA2G4C","GALNT13","PTPRK",,"GEM","PSMB10","GPR75",,,,"GPC2",,"CHAD",,"SEPTIN1","SNTG2","GPCPD1"
"PCDH11Y",,"GIPC2","FRMPD2","SLC7A10","CACHD1","FCRLA","TNFRSF17",,,,,"MAP3K8",,"ABTB2","FAM167B",,,,"MT1G","PCDH12","BNC2","RCN3","FMO2",,,"SIGLEC1",,"SIGLEC7",,,"CEBPA","ALDH2",,"BCL11A","GLRA2","MATK","EMP3",,,"EVI2A","AIF1L","PDE4B","GRM8",,"LTBP1","ARHGAP15","SALL2",,,,"PRR36",,"EMILIN3",,"SLAMF1","CDH23","MTUS1"
"DNAJA1",,"CLDN10","HAUS7","LRRC3B","CAMK2G","P2RX5","HM13",,,,,"CLEC10A",,"THSD8","PLXND1",,,,"ATOH8","EDNRA","NECAB1","RPS29","HSD11B1",,,"FUCA1",,"MAPK13",,,"HAVCR2","CDKN1A",,"DLGAP2","ANKRD55","SH2D1B","STXBP2",,,"C21orf91","FAM102A","LRRTM4","APBB2",,"LMOD1","RGL4","PCDHGB7",,,,"RGMB",,"SLITRK2",,"RHOH","RAP1B","PLEKHG1"
"TRIM69",,"TBX1","","PSD3","MAP4K4","LY9","TP53INP1",,,,,"OGFRL1",,"ERI2","ANGPTL2",,,,"SLC16A1","PPP1R15A","GAS1","RPL38","NUPR1",,,"ADAMDEC1",,"SLC25A19",,,"CNPY3","MYL6",,"GABRB3","RAB3C","SYTL3","ARPC3",,,"HSPA2","NGFR","MAML2","NOTCH3",,"FLNA","SP140","",,,,"SEPTIN3",,"PLPP4",,"PIK3IP1","TNFRSF10B","SPOCK2"
"WNT2B",,"CFAP36",,"CADM1","AHCYL2","RBM38","HSH2D",,,,,"GLIPR1",,"CREM","NR5A2",,,,"LSR","LXN","CRABP1","RRBP1","SCPEP1",,,"HEXA",,"HSPA6",,,"GAL3ST4","TYMP",,"GRIN2A","PROX1","ARHGAP9","CD48",,,"SCCPDH","RTL8C","MMP16","P2RY14",,"CAVIN3","MAP4K1",,,,,"NPPA",,"FZD9",,"LAIR2","SSH1","SYNE1"
"CROCC",,"MET",,"ATP13A4","LGI1","RPL18","SDC1",,,,,"STX11",,"TBX18","EHD4",,,,"TMEM123","S1PR3","DHRS3","TNFAIP6","COL15A1",,,"TGIF1",,"GNPDA1",,,"OSM","DAPP1",,"HS6ST3","SLC44A5","PYHIN1","PILRA",,,"MAP7","CDC42EP1","VCAN","PTH1R",,"MYOCD","HNRNPF",,,,,"ATAT1",,"TMEM121",,"GATA3","CPNE8","TBC1D4"
"ZNF143",,"EGFL8",,"MERTK","CDH4","TNFRSF13C","CRELD2",,,,,"GAPT",,"SEMA4A","MYCT1",,,,"GIMAP5","MYO10","ITM2C","CXCL6","ITGA10",,,"IL10",,"NANS",,,"CXorf21","SAMSN1",,"PTPRD","ANK1","CCND3","ARPC1B",,,"AATK","NDUFA11","DPP6","SLC19A1",,"ENAH","RNF167",,,,,"RASA4",,"CTXND1",,"SOCS1","IL18R1","CMTM8"
"RIPK1",,"PTGIS",,"NDRG2","KANK1","NIBAN3","SPCS1",,,,,"NAPSA",,"C4A","SEMA3F",,,,"MXD4","RHOC","JAM3","MMP14","MLPH",,,"GLMP",,"LACTB",,,"CD4","TXN",,"RASGRF1","ANO4","TBX21","GMFG",,,"TMEM63A","TMTC4","NRCAM","DACH1",,"ATF3","CD70",,,,,"GPSM1",,"PLPPR5",,"SIRPG","TEAD1","GALNT18"
"MRPL33",,"GATA6",,"SDC4","AHCYL1","FCRL1","TXNDC11",,,,,"RIN3",,"KCNK17","ACVRL1",,,,"TGFBR2","ECE1","LTBP2","INHBA","CEP126",,,"ALOX15B",,"HIST1H2BH",,,"AP1B1","GRSF1",,"SGSM1","DCX","TXK","MPEG1",,,"CMTM5","TECR","MARCH1","ARHGAP42",,"MSRB3","OASL",,,,,"",,"CHDH",,"AQP3","ADAMTS9","NPIPB5"
"METTL21A",,"CAPZA2",,"VAV3","GLUD1","CD19","DNAJB9",,,,,"CEACAM4",,"C4B","DYSF",,,,"HOPX","DPEP1","PHLDB2","STEAP1","TSKU",,,"GM2A",,"",,,"REEP4","GPR157",,"SH3GL2","DLX1","BIN2","SPI1",,,"MYLK","CIAO2B","SLC35F1","PRKN",,"NEXN","NFATC2",,,,,,,"",,"CCR8","OSMR","CHKA"
"CCNYL1",,"PGM5",,"CNTFR","SRGAP1","CXCR5","TMEM238",,,,,"PSTPIP2",,"VIT","ITGA2",,,,"MAOA","PTP4A3","SLC12A2","CCN4","ASIP",,,"LY96",,,,,"PTAFR","C4orf3",,"ZNF385B","GAD2","XCL2","NACA",,,"PAQR6","YWHAQ","ASAP1","C4orf19",,"CASQ2","UBE2L6",,,,,,,,,"CD28","HIPK3","SLC7A1"
"DDX58",,"SMAD6",,"ACSBG1","PDZRN3","RPL32","TXNDC15",,,,,"RIPK2",,"WNT9A","TMEM255B",,,,"TNS2","TNFRSF21","SLC9B2","CXCL5","NR1H3",,,"RENBP",,,,,"PPT1","CTSH",,"ARPP21","GALNTL6","FCRL6","NCF2",,,"SEPTIN8","B3GAT3","BCAS1","PLCE1",,"HSPB8","",,,,,,,,,"FLT3LG","NMUR2","LRP8"
"ASXL1",,"AKR1C3",,"PAMR1","PRKD1","TCL1A","ZBP1",,,,,"CLEC4A",,"F10","NRP1",,,,"RRAS","COL18A1","SOCS3","FKBP10","OLAH",,,"DRAM2",,,,,"HPGDS","IL4I1",,"ATP2B2","GRIA1","TTC38","LRRC25",,,"FAM107B","PSAT1","NCAM2","RBPMS",,"MGST3",,,,,,,,,,"CXCR6","ASRGL1","HMCN1"
"",,"NOMO2",,"SLC6A11","ADGRA3","TNFRSF13B","MEI1",,,,,"",,"RDH10","FZD4",,,,"CYYR1","CHST1","ENPP6","LOX","AC007325.4",,,"",,,,,"PRKCD","SYNGR2",,"FAM153B","SYTL5","MCTP2","SLC25A6",,,"TTYH2","COX5B","XKR4","RERGL",,"NIBAN1",,,,,,,,,,"PLSCR3","RAB27A","LAMA3"
,,"SH3RF2",,"SFMBT2","YAP1","PARP15","PDK1",,,,,,,"SLC19A2","SHROOM4",,,,"COX7A1","CD248","ADM","A1BG","",,,,,,,,"IL17RA","LAD1",,"ICA1","PARM1","TMIGD2","WARS",,,"MT3","SMIM29","CLASP2","CDH6",,"KCNMB1",,,,,,,,,,"LTA","ITPKC","SLC39A10"
,,"TSPAN2",,"SFXN5","TCF7L2","AC119396.1","LAX1",,,,,,,"LONRF3","SCARF1",,,,"HRCT1","TNS3","CEMIP","ATP5ME",,,,,,,,,"SIGLEC9","SUB1",,"CADPS","CXCL14","NCR1","CFP",,,"TMEM125","CXXC5","KCND2","ZFHX3",,"CD151",,,,,,,,,,"DENND1C","ZNF217","CCNY"
,,"TEK",,"ACSS1","MED12L","STAG3","ST6GALNAC4",,,,,,,"DNAH2","YES1",,,,"PINK1","SPATS2L","SERPINF1","OST4",,,,,,,,,"JDP2","TSPAN33",,"HTR1E","LYPD6B","NCR3","CLEC12A",,,"PAQR8","IFIT2","BRINP3","RIPOR3",,"NUDT4",,,,,,,,,,"CASP8","TAFA4","EPHA3"
,,"ITPRID2",,"SLC39A11","STK33","PAX5","MEF2B",,,,,,,"SPACA6","PVR",,,,"AHNAK","UACA","ANXA1","RPL36A",,,,,,,,,"ARHGAP4","PNRC1",,"IQSEC3","NRIP3","KIR2DL3","POU2F2",,,"LANCL1","MICOS13","SHISA9","SLC20A2",,"CCN3",,,,,,,,,,"CCR4","AFF4","ZBTB16"
,,"IRF6",,"PSD2","AGT","RUBCNL","ARSA",,,,,,,"TKTL1","STC2",,,,"MX1","YWHAZ","BTG2","TMEM45A",,,,,,,,,"CCR1","CTSZ",,"LRFN5","NHS","KIR2DL4","PYCARD",,,"FOLH1","FNTB","PDGFRA","PCBP3",,"PDLIM3",,,,,,,,,,"","FOSL2","STARD13"
,,"SLC17A3",,"SPON1","FARP1","FCER2","TRABD",,,,,,,"GCLC","PPM1F",,,,"TFRC","ARHGAP18","MRC2","RCN1",,,,,,,,,"GLA","NUB1",,"RALYL","BTBD11","KIR3DL2","EVI2B",,,"ZNF652","GCSH","SOX6","CLMN",,"KCNA5",,,,,,,,,,,"CHIC2","MCC"
,,"DIPK1B",,"EYA1","HEPACAM","","KLHL6",,,,,,,"BIN3","NDST1",,,,"HERC2","EVA1B","PDGFD","SERPINA3",,,,,,,,,"SNX5","PTPN1",,"CHN1","CHRNA7","RNF125","CARD16",,,"ERBB3","RNH1","SEMA5A","COLEC12",,"SGCA",,,,,,,,,,,"SELE","LARGE1"
,,"DHH",,"LGR4","RAD51B",,"FAM92B",,,,,,,"GTF2B","YPEL2",,,,"IFNGR1","ENPEP","SIX1","TDO2",,,,,,,,,"ITGAM","TAPBP",,"FRRS1L","ECE2","","GPSM3",,,"LPAR1","NPTX2","KIF13A","CYTH3",,"CCDC107",,,,,,,,,,,"ATP8B1","LRCH1"
,,"KIAA0355",,"GPAM","CDC14A",,"SLC17A9",,,,,,,"TTC21A","BCR",,,,"SLC38A3","PDGFA","CTXN3","KDELR3",,,,,,,,,"ANOS1","ETV3",,"MPPED1","VWC2L",,"SIGLEC10",,,"MAN2A1","VAMP2","XYLT1","FRMD3",,"AMIGO2",,,,,,,,,,,"CDC37L1","SCARB1"
,,"ZBED6",,"GNA14","IFT88",,"SYVN1",,,,,,,"SLC22A6","ARHGEF15",,,,"SLC39A8","CNN3","FOXC1","RPL31",,,,,,,,,"ATP6V1B2","RELB",,"PLCB1","GPR149",,"SPN",,,"SEMA4D","NAXE","GRM7","PDE7B",,"SBSPON",,,,,,,,,,,"IL1RL1","CNTNAP3B"
,,"KAZALD1",,"MRVI1","FYN",,"GMPPB",,,,,,,"MRNIP","IVNS1ABP",,,,"TBX3","UGCG","JAM2","ADAMTS2",,,,,,,,,"MIS18BP1","CLIC2",,"ADAM23","TENM2",,"VASP",,,"SLC5A11","CLTA","NCKAP5","SMOC2",,"ALKAL2",,,,,,,,,,,"NFATC1","PRKCH"
,,"",,"PRDM16","NCAN",,"PREB",,,,,,,"SMIM41","MAPK11",,,,"ZKSCAN1","APCDD1","PTGDR","CKAP4",,,,,,,,,"HERC5","REPIN1",,"ARNTL2","THSD7B",,"ICAM3",,,"DPYSL2","SFRP1","KLF12","GJC1",,"CSDC2",,,,,,,,,,,"CFAP161","AFDN"
